polling_station_code,centre_code,centre_name,bureau_code,bureau_num,registered
BONOUA-001-BV01,001,ECOLE METHODISTE,BV01,1,441
BONOUA-001-BV02,001,ECOLE METHODISTE,BV02,2,440
BONOUA-001-BV03,001,ECOLE METHODISTE,BV03,3,440
BONOUA-001-BV04,001,ECOLE METHODISTE,BV04,4,440
BONOUA-001-BV05,001,ECOLE METHODISTE,BV05,5,440
BONOUA-001-BV06,001,ECOLE METHODISTE,BV06,6,440
BONOUA-001-BV07,001,ECOLE METHODISTE,BV07,7,440
BONOUA-002-BV01,002,GS AWOSSI AHOULOU 1,BV01,1,440
BONOUA-002-BV02,002,GS AWOSSI AHOULOU 1,BV02,2,440
BONOUA-002-BV03,002,GS AWOSSI AHOULOU 1,BV03,3,440
BONOUA-002-BV04,002,GS AWOSSI AHOULOU 1,BV04,4,440
BONOUA-002-BV05,002,GS AWOSSI AHOULOU 1,BV05,5,440
BONOUA-002-BV06,002,GS AWOSSI AHOULOU 1,BV06,6,440
BONOUA-002-BV07,002,GS AWOSSI AHOULOU 1,BV07,7,432
BONOUA-003-BV01,003,GS MOULO BROU AN 2000,BV01,1,416
BONOUA-003-BV02,003,GS MOULO BROU AN 2000,BV02,2,416
BONOUA-003-BV03,003,GS MOULO BROU AN 2000,BV03,3,411
BONOUA-003-BV04,003,GS MOULO BROU AN 2000,BV04,4,408
BONOUA-003-BV05,003,GS MOULO BROU AN 2000,BV05,5,408
BONOUA-003-BV06,003,GS MOULO BROU AN 2000,BV06,6,408
BONOUA-004-BV01,004,EPP BONOUA HARRIS 1-2,BV01,1,376
BONOUA-004-BV02,004,EPP BONOUA HARRIS 1-2,BV02,2,371
BONOUA-004-BV03,004,EPP BONOUA HARRIS 1-2,BV03,3,368
BONOUA-004-BV04,004,EPP BONOUA HARRIS 1-2,BV04,4,368
BONOUA-004-BV05,004,EPP BONOUA HARRIS 1-2,BV05,5,368
BONOUA-005-BV01,005,GS BONOUA MUNICIPALITE,BV01,1,416
BONOUA-005-BV02,005,GS BONOUA MUNICIPALITE,BV02,2,412
BONOUA-005-BV03,005,GS BONOUA MUNICIPALITE,BV03,3,408
BONOUA-005-BV04,005,GS BONOUA MUNICIPALITE,BV04,4,408
BONOUA-006-BV01,006,EPP IMPERIE,BV01,1,368
BONOUA-006-BV02,006,EPP IMPERIE,BV02,2,368
BONOUA-006-BV03,006,EPP IMPERIE,BV03,3,365
BONOUA-006-BV04,006,EPP IMPERIE,BV04,4,360
BONOUA-007-BV01,007,GS BONHI ADJA,BV01,1,440
BONOUA-007-BV02,007,GS BONHI ADJA,BV02,2,440
BONOUA-007-BV03,007,GS BONHI ADJA,BV03,3,440
BONOUA-007-BV04,007,GS BONHI ADJA,BV04,4,440
BONOUA-007-BV05,007,GS BONHI ADJA,BV05,5,440
BONOUA-007-BV06,007,GS BONHI ADJA,BV06,6,440
BONOUA-007-BV07,007,GS BONHI ADJA,BV07,7,440
BONOUA-007-BV08,007,GS BONHI ADJA,BV08,8,436
BONOUA-008-BV01,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV01,1,416
BONOUA-008-BV02,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV02,2,413
BONOUA-008-BV03,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV03,3,408
BONOUA-008-BV04,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV04,4,408
BONOUA-008-BV05,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV05,5,408
BONOUA-008-BV06,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV06,6,408
BONOUA-008-BV07,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV07,7,408
BONOUA-008-BV08,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV08,8,408
