polling_station_code,center_code,center_name,center_display,bureau_code,registered,segment
BONGO-BO-001-BV01,BO-001,EPP AKROABA 1 PPU,BO-001 - EPP AKROABA 1 PPU,BV01,143,SOUS_PREFECTURE
BONGO-BO-002-BV01,BO-002,EPP AKROABA-AKOUDJEKOA,BO-002 - EPP AKROABA-AKOUDJEKOA,BV01,228,SOUS_PREFECTURE
BONGO-BO-002-BV02,BO-002,EPP AKROABA-AKOUDJEKOA,BO-002 - EPP AKROABA-AKOUDJEKOA,BV02,227,SOUS_PREFECTURE
BONGO-BO-003-BV01,BO-003,GS BONGO SAPH 1 ET 2,BO-003 - GS BONGO SAPH 1 ET 2,BV01,336,SOUS_PREFECTURE
BONGO-BO-003-BV02,BO-003,GS BONGO SAPH 1 ET 2,BO-003 - GS BONGO SAPH 1 ET 2,BV02,335,SOUS_PREFECTURE
BONGO-BO-004-BV01,BO-004,G.S BONGO-VILLAGE,BO-004 - G.S BONGO-VILLAGE,BV01,349,SOUS_PREFECTURE
BONGO-BO-004-BV02,BO-004,G.S BONGO-VILLAGE,BO-004 - G.S BONGO-VILLAGE,BV02,349,SOUS_PREFECTURE
BONGO-BO-004-BV03,BO-004,G.S BONGO-VILLAGE,BO-004 - G.S BONGO-VILLAGE,BV03,348,SOUS_PREFECTURE
BONGO-BO-005-BV01,BO-005,EPP KIMOUKRO,BO-005 - EPP KIMOUKRO,BV01,227,SOUS_PREFECTURE
BONGO-BO-005-BV02,BO-005,EPP KIMOUKRO,BO-005 - EPP KIMOUKRO,BV02,226,SOUS_PREFECTURE
BONGO-BO-006-BV01,BO-006,GS ONO 1 A ET 4 ONO-SALCI,BO-006 - GS ONO 1 A ET 4 ONO-SALCI,BV01,386,SOUS_PREFECTURE
BONGO-BO-006-BV02,BO-006,GS ONO 1 A ET 4 ONO-SALCI,BO-006 - GS ONO 1 A ET 4 ONO-SALCI,BV02,385,SOUS_PREFECTURE
BONGO-BO-007-BV01,BO-007,EPP SADIA BAMBA ONO 14,BO-007 - EPP SADIA BAMBA ONO 14,BV01,355,SOUS_PREFECTURE
BONGO-BO-008-BV01,BO-008,EPP FANNIE BRECHAT DE WEHOU,BO-008 - EPP FANNIE BRECHAT DE WEHOU,BV01,133,SOUS_PREFECTURE
BONGO-BO-009-BV01,BO-009,MATERNELLE PK5,BO-009 - MATERNELLE PK5,BV01,159,SOUS_PREFECTURE
BONGO-BO-010-BV01,BO-010,GS BONGO SAPH 3 ET 4,BO-010 - GS BONGO SAPH 3 ET 4,BV01,226,SOUS_PREFECTURE
BONGO-BO-011-BV01,BO-011,COLLEGE MODERNE BONGO,BO-011 - COLLEGE MODERNE BONGO,BV01,352,SOUS_PREFECTURE
BONGO-BO-012-BV01,BO-012,EPP OBROU KOMON,BO-012 - EPP OBROU KOMON,BV01,89,SOUS_PREFECTURE
BONOUA-001-BV01,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV01,396,COMMUNE
BONOUA-001-BV02,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV02,396,COMMUNE
BONOUA-001-BV03,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV03,396,COMMUNE
BONOUA-001-BV04,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV04,396,COMMUNE
BONOUA-001-BV05,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV05,395,COMMUNE
BONOUA-001-BV06,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV06,395,COMMUNE
BONOUA-001-BV07,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV07,395,COMMUNE
BONOUA-001-BV08,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV08,395,COMMUNE
BONOUA-002-BV01,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV01,407,COMMUNE
BONOUA-002-BV02,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV02,407,COMMUNE
BONOUA-002-BV03,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV03,407,COMMUNE
BONOUA-002-BV04,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV04,406,COMMUNE
BONOUA-002-BV05,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV05,406,COMMUNE
BONOUA-002-BV06,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV06,406,COMMUNE
BONOUA-002-BV07,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV07,406,COMMUNE
BONOUA-002-BV08,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV08,406,COMMUNE
BONOUA-003-BV01,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV01,440,COMMUNE
BONOUA-003-BV02,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV02,440,COMMUNE
BONOUA-003-BV03,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV03,440,COMMUNE
BONOUA-003-BV04,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV04,439,COMMUNE
BONOUA-003-BV05,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV05,439,COMMUNE
BONOUA-003-BV06,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV06,439,COMMUNE
BONOUA-004-BV01,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV01,385,COMMUNE
BONOUA-004-BV02,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV02,385,COMMUNE
BONOUA-004-BV03,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV03,385,COMMUNE
BONOUA-004-BV04,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV04,385,COMMUNE
BONOUA-004-BV05,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV05,384,COMMUNE
BONOUA-005-BV01,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV01,443,COMMUNE
BONOUA-005-BV02,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV02,443,COMMUNE
BONOUA-005-BV03,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV03,443,COMMUNE
BONOUA-005-BV04,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV04,442,COMMUNE
BONOUA-006-BV01,006,EPP IMPERIE,006 - EPP IMPERIE,BV01,369,COMMUNE
BONOUA-006-BV02,006,EPP IMPERIE,006 - EPP IMPERIE,BV02,369,COMMUNE
BONOUA-006-BV03,006,EPP IMPERIE,006 - EPP IMPERIE,BV03,369,COMMUNE
BONOUA-006-BV04,006,EPP IMPERIE,006 - EPP IMPERIE,BV04,368,COMMUNE
BONOUA-007-BV01,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV01,402,COMMUNE
BONOUA-007-BV02,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV02,402,COMMUNE
BONOUA-007-BV03,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV03,402,COMMUNE
BONOUA-007-BV04,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV04,401,COMMUNE
BONOUA-007-BV05,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV05,401,COMMUNE
BONOUA-007-BV06,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV06,401,COMMUNE
BONOUA-007-BV07,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV07,401,COMMUNE
BONOUA-007-BV08,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV08,401,COMMUNE
BONOUA-007-BV09,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV09,401,COMMUNE
BONOUA-008-BV01,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV01,439,COMMUNE
BONOUA-008-BV02,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV02,439,COMMUNE
BONOUA-008-BV03,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV03,439,COMMUNE
BONOUA-008-BV04,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV04,439,COMMUNE
BONOUA-008-BV05,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV05,439,COMMUNE
BONOUA-008-BV06,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV06,439,COMMUNE
BONOUA-008-BV07,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV07,439,COMMUNE
BONOUA-008-BV08,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV08,438,COMMUNE
BONOUA-008-BV09,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV09,438,COMMUNE
BONOUA-008-BV10,008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,BV10,438,COMMUNE
BONOUA-009-BV01,009,EPP ADIAHO,009 - EPP ADIAHO,BV01,361,COMMUNE
BONOUA-009-BV02,009,EPP ADIAHO,009 - EPP ADIAHO,BV02,361,COMMUNE
BONOUA-009-BV03,009,EPP ADIAHO,009 - EPP ADIAHO,BV03,360,COMMUNE
BONOUA-009-BV04,009,EPP ADIAHO,009 - EPP ADIAHO,BV04,360,COMMUNE
