commune,centre_code,centre_name,nb_bureaux,registered_total
BONOUA,001,ECOLE METHODISTE,7,3081
BONOUA,002,GS AWOSSI AHOULOU 1,7,3072
BONOUA,003,GS MOULO BROU AN 2000,6,2467
BONOUA,004,EPP BONOUA HARRIS 1-2,5,1851
BONOUA,005,GS BONOUA MUNICIPALITE,4,1644
BONOUA,006,EPP IMPERIE,4,1461
BONOUA,007,GS BONHI ADJA,8,3516
BONOUA,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,10,4093
BONOUA,009,EPP ADIAHO,4,1413
BONOUA,010,EPP SAMO,8,3344
BONOUA,011,EPP YAHOU A ET B,7,2894
BONOUA,012,EPP HARRIS 1-2,6,2373
BONOUA,013,GROUPE SCOLAIRE OBROU KOUASSI,6,2290
BONOUA,014,COLLEGE CHRIST-ROI,5,2008
BONOUA,015,GROUPE SCOLAIRE EMMANUEL,5,1952
BONOUA,016,EPP AMETHIER JEAN BAPTISTE,5,1850
BONOUA,017,PLACE PUBLIQUE KODJOBOUE,2,820
BONOUA,018,COLLEGE JESUS-MARIE,2,637
BONOUA,019,EPP ANDRE MAUD,1,417
BONOUA,020,FOYER DES JEUNES DE BONOUA,3,1251
BONOUA,021,EPP YAOU C ET D,4,1363
