center_code,center_name,center_display,segment,nb_bureaux,registered_total,commune
BO-001,EPP AKROABA 1 PPU,BO-001 - EPP AKROABA 1 PPU,SOUS_PREFECTURE,1,143,BONGO
BO-002,EPP AKROABA-AKOUDJEKOA,BO-002 - EPP AKROABA-AKOUDJEKOA,SOUS_PREFECTURE,2,455,BONGO
BO-003,GS BONGO SAPH 1 ET 2,BO-003 - GS BONGO SAPH 1 ET 2,SOUS_PREFECTURE,2,671,BONGO
BO-004,G.S BONGO-VILLAGE,BO-004 - G.S BONGO-VILLAGE,SOUS_PREFECTURE,3,1046,BONGO
BO-005,EPP KIMOUKRO,BO-005 - EPP KIMOUKRO,SOUS_PREFECTURE,2,453,BONGO
BO-006,GS ONO 1 A ET 4 ONO-SALCI,BO-006 - GS ONO 1 A ET 4 ONO-SALCI,SOUS_PREFECTURE,2,771,BONGO
BO-007,EPP SADIA BAMBA ONO 14,BO-007 - EPP SADIA BAMBA ONO 14,SOUS_PREFECTURE,1,355,BONGO
BO-008,EPP FANNIE BRECHAT DE WEHOU,BO-008 - EPP FANNIE BRECHAT DE WEHOU,SOUS_PREFECTURE,1,133,BONGO
BO-009,MATERNELLE PK5,BO-009 - MATERNELLE PK5,SOUS_PREFECTURE,1,159,BONGO
BO-010,GS BONGO SAPH 3 ET 4,BO-010 - GS BONGO SAPH 3 ET 4,SOUS_PREFECTURE,1,226,BONGO
BO-011,COLLEGE MODERNE BONGO,BO-011 - COLLEGE MODERNE BONGO,SOUS_PREFECTURE,1,352,BONGO
BO-012,EPP OBROU KOMON,BO-012 - EPP OBROU KOMON,SOUS_PREFECTURE,1,89,BONGO
001,ECOLE METHODISTE,001 - ECOLE METHODISTE,COMMUNE,8,3164,BONOUA
002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,COMMUNE,8,3251,BONOUA
003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,COMMUNE,6,2637,BONOUA
004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,COMMUNE,5,1924,BONOUA
005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,COMMUNE,4,1771,BONOUA
006,EPP IMPERIE,006 - EPP IMPERIE,COMMUNE,4,1475,BONOUA
007,GS BONHI ADJA,007 - GS BONHI ADJA,COMMUNE,9,3612,BONOUA
008,GROUPE SCOLAIRE AKPA GNAGNE AH OU,008 - GROUPE SCOLAIRE AKPA GNAGNE AH OU,COMMUNE,10,4387,BONOUA
009,EPP ADIAHO,009 - EPP ADIAHO,COMMUNE,4,1442,BONOUA
010,EPP SAMO,010 - EPP SAMO,COMMUNE,9,3606,BONOUA
011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,COMMUNE,8,3160,BONOUA
012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,COMMUNE,6,2462,BONOUA
013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,COMMUNE,6,2481,BONOUA
014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,COMMUNE,5,2102,BONOUA
015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,COMMUNE,5,2034,BONOUA
016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,COMMUNE,5,1952,BONOUA
017,PLACE PUBLIQUE KODJOBOUE,017 - PLACE PUBLIQUE KODJOBOUE,COMMUNE,2,797,BONOUA
018,COLLEGE JESUS-MARIE,018 - COLLEGE JESUS-MARIE,COMMUNE,2,790,BONOUA
019,EPP ANDRE MAUD,019 - EPP ANDRE MAUD,COMMUNE,1,425,BONOUA
020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,COMMUNE,4,1495,BONOUA
021,EPP YAOU C ET D,021 - EPP YAOU C ET D,COMMUNE,4,1730,BONOUA
022,EPP JEAN-BAPTISTE OTRON,022 - EPP JEAN-BAPTISTE OTRON,COMMUNE,1,387,BONOUA
023,COLLEGE MODERNE YAOU BONOUA,023 - COLLEGE MODERNE YAOU BONOUA,COMMUNE,1,149,BONOUA
024,EPP EKRA MATHIEU DE TCHANCTHEVE,024 - EPP EKRA MATHIEU DE TCHANCTHEVE,COMMUNE,1,57,BONOUA
025,COLLEGE PRIVE ELEPHANT,025 - COLLEGE PRIVE ELEPHANT,COMMUNE,2,525,BONOUA
SP-001,EPP ABROBAKRO,SP-001 - EPP ABROBAKRO,SOUS_PREFECTURE,1,268,BONOUA
SP-002,EPP ALLOHORE,SP-002 - EPP ALLOHORE,SOUS_PREFECTURE,1,187,BONOUA
SP-003,EPP ASSE,SP-003 - EPP ASSE,SOUS_PREFECTURE,3,1232,BONOUA
SP-004,EPP SODEPALME,SP-004 - EPP SODEPALME,SOUS_PREFECTURE,1,423,BONOUA
SP-005,EPP LARABIA,SP-005 - EPP LARABIA,SOUS_PREFECTURE,3,998,BONOUA
SP-006,EPP MEDINA,SP-006 - EPP MEDINA,SOUS_PREFECTURE,2,614,BONOUA
SP-007,EPP MOHAME,SP-007 - EPP MOHAME,SOUS_PREFECTURE,1,383,BONOUA
SP-008,PLACE PUBLIQUE ONO BORD,SP-008 - PLACE PUBLIQUE ONO BORD,SOUS_PREFECTURE,1,84,BONOUA
SP-009,EPP ADAMAKRO,SP-009 - EPP ADAMAKRO,SOUS_PREFECTURE,1,55,BONOUA
