polling_station_code,center_code,center_name,center_display,bureau_code,registered,segment
BONOUA-001-BV01,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV01,441,COMMUNE
BONOUA-001-BV02,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV02,440,COMMUNE
BONOUA-001-BV03,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV03,440,COMMUNE
BONOUA-001-BV04,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV04,440,COMMUNE
BONOUA-001-BV05,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV05,440,COMMUNE
BONOUA-001-BV06,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV06,440,COMMUNE
BONOUA-001-BV07,001,ECOLE METHODISTE,001 - ECOLE METHODISTE,BV07,440,COMMUNE
BONOUA-002-BV01,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV01,440,COMMUNE
BONOUA-002-BV02,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV02,440,COMMUNE
BONOUA-002-BV03,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV03,440,COMMUNE
BONOUA-002-BV04,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV04,440,COMMUNE
BONOUA-002-BV05,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV05,440,COMMUNE
BONOUA-002-BV06,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV06,440,COMMUNE
BONOUA-002-BV07,002,GS AWOSSI AHOULOU 1,002 - GS AWOSSI AHOULOU 1,BV07,432,COMMUNE
BONOUA-003-BV01,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV01,416,COMMUNE
BONOUA-003-BV02,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV02,416,COMMUNE
BONOUA-003-BV03,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV03,411,COMMUNE
BONOUA-003-BV04,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV04,408,COMMUNE
BONOUA-003-BV05,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV05,408,COMMUNE
BONOUA-003-BV06,003,GS MOULO BROU AN 2000,003 - GS MOULO BROU AN 2000,BV06,408,COMMUNE
BONOUA-004-BV01,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV01,376,COMMUNE
BONOUA-004-BV02,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV02,371,COMMUNE
BONOUA-004-BV03,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV03,368,COMMUNE
BONOUA-004-BV04,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV04,368,COMMUNE
BONOUA-004-BV05,004,EPP BONOUA HARRIS 1-2,004 - EPP BONOUA HARRIS 1-2,BV05,368,COMMUNE
BONOUA-005-BV01,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV01,416,COMMUNE
BONOUA-005-BV02,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV02,412,COMMUNE
BONOUA-005-BV03,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV03,408,COMMUNE
BONOUA-005-BV04,005,GS BONOUA MUNICIPALITE,005 - GS BONOUA MUNICIPALITE,BV04,408,COMMUNE
BONOUA-006-BV01,006,EPP IMPERIE,006 - EPP IMPERIE,BV01,368,COMMUNE
BONOUA-006-BV02,006,EPP IMPERIE,006 - EPP IMPERIE,BV02,368,COMMUNE
BONOUA-006-BV03,006,EPP IMPERIE,006 - EPP IMPERIE,BV03,365,COMMUNE
BONOUA-006-BV04,006,EPP IMPERIE,006 - EPP IMPERIE,BV04,360,COMMUNE
BONOUA-007-BV01,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV01,440,COMMUNE
BONOUA-007-BV02,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV02,440,COMMUNE
BONOUA-007-BV03,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV03,440,COMMUNE
BONOUA-007-BV04,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV04,440,COMMUNE
BONOUA-007-BV05,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV05,440,COMMUNE
BONOUA-007-BV06,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV06,440,COMMUNE
BONOUA-007-BV07,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV07,440,COMMUNE
BONOUA-007-BV08,007,GS BONHI ADJA,007 - GS BONHI ADJA,BV08,436,COMMUNE
BONOUA-008-BV01,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV01,416,COMMUNE
BONOUA-008-BV02,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV02,413,COMMUNE
BONOUA-008-BV03,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV03,408,COMMUNE
BONOUA-008-BV04,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV04,408,COMMUNE
BONOUA-008-BV05,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV05,408,COMMUNE
BONOUA-008-BV06,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV06,408,COMMUNE
BONOUA-008-BV07,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV07,408,COMMUNE
BONOUA-008-BV08,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV08,408,COMMUNE
BONOUA-008-BV09,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV09,408,COMMUNE
BONOUA-008-BV10,008,GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,008 - GROUPE SCOLAIRE AKPA GNAGNE AHOULOU ALPHONSE,BV10,408,COMMUNE
BONOUA-009-BV01,009,EPP ADIAHO,009 - EPP ADIAHO,BV01,357,COMMUNE
BONOUA-009-BV02,009,EPP ADIAHO,009 - EPP ADIAHO,BV02,352,COMMUNE
BONOUA-009-BV03,009,EPP ADIAHO,009 - EPP ADIAHO,BV03,352,COMMUNE
BONOUA-009-BV04,009,EPP ADIAHO,009 - EPP ADIAHO,BV04,352,COMMUNE
BONOUA-010-BV01,010,EPP SAMO,010 - EPP SAMO,BV01,424,COMMUNE
BONOUA-010-BV02,010,EPP SAMO,010 - EPP SAMO,BV02,424,COMMUNE
BONOUA-010-BV03,010,EPP SAMO,010 - EPP SAMO,BV03,416,COMMUNE
BONOUA-010-BV04,010,EPP SAMO,010 - EPP SAMO,BV04,416,COMMUNE
BONOUA-010-BV05,010,EPP SAMO,010 - EPP SAMO,BV05,416,COMMUNE
BONOUA-010-BV06,010,EPP SAMO,010 - EPP SAMO,BV06,416,COMMUNE
BONOUA-010-BV07,010,EPP SAMO,010 - EPP SAMO,BV07,416,COMMUNE
BONOUA-010-BV08,010,EPP SAMO,010 - EPP SAMO,BV08,416,COMMUNE
BONOUA-011-BV01,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV01,416,COMMUNE
